Group Name,Facebook URL,Primary City/Neighborhood,Geographic Coverage,Group Category,Public/Private,Approx Member Count,Recent Activity Level,Approx Posts/Week,Most Recent Post (as of check),Business Pages Can Join?,Business Promotion Allowed?,Promo Days/Restrictions,Admin Approval Required?,Recommendation Requests Allowed?,# Recent Home-Service Rec Posts,Garage-Door Posts Found,Competitor Activity Found,Relevant Admin/Moderator,Best Way to Participate,Direct-Promotion Potential,Referral-Partnership Potential,Overall Opportunity Score,Tier,Notes,Recommended Next Action
Eastmorland Neighbors,https://www.facebook.com/groups/eastmorlandneighbors/,Madison (Eastmorland),East Madison,Neighborhood/Subdivision,Private,1.8K,Low-moderate,21,2026-07-06 (had new posts on check day),Personal profile to join,Unknown (not shown in rules),None,Yes (request to join),Yes,Verify on join,Verify on join,Verify on join,Brian +4 (admins),"Be the helpful local: answer requests, no ads",Unknown - verify on join,Low,76,Tier 2,Owner-occupied neighborhood. Rules silent on promotion; requires real neighborhood tie to join.,Join. Answer neighbor requests; ask admin before any promo.
"Stoughton, Wisconsin Neighborhood Group",https://www.facebook.com/groups/919560374752482/,Stoughton,Stoughton,Community/City,Private,10.4K,Very high,164,2026-07-06 (had new posts on check day),Personal profile to join,No,None,Yes (request to join),Yes,Verify on join,Verify on join,Verify on join,"Laurie, Chad (admins)","Be the helpful local: answer requests, no ads",None,Medium,75,Tier 2,Very active. No sales/ISO (directed to resale pages); no business posts. Recommendation answers still fine.,Join. Answer garage-door questions; do not post ads.
McFarland Community,https://www.facebook.com/groups/377904376003218/,McFarland,McFarland,Community/City,Private,5.4K,High,127,2026-07-06 (had new posts on check day),Personal profile to join,Unknown (not shown in rules),None,Yes (request to join),Yes,Verify on join,Verify on join,Verify on join,John +7 (admins),"Be the helpful local: answer requests, no ads",Unknown - verify on join,Medium,75,Tier 2,Active community group; no rules shown on About - confirm posting policy on join.,Join. Answer requests; check rules before any promo post.
Welcome to DeForest WI,https://www.facebook.com/groups/912986175427865/,DeForest,DeForest / Windsor,Community/City,Private,5.3K,Moderate,29,2026-07-06 (had new posts on check day),Personal profile to join,Promo day only,Advertising only Tue & Fri (include business name),Yes (request to join),Yes,Verify on join,Verify on join,Verify on join,Holly (admin); Jeremy (mod),Post on the allowed day + answer recommendation requests,Medium (promo day),Medium,75,Tier 1,"Ad days Tue/Fri. NOTE: duct-cleaning ads = instant ban (they treat some home-service spam harshly, stay genuine).",Join. Post on Tue/Fri with business name; answer requests other days.
"What's going on in Cross Plains, WI",https://www.facebook.com/groups/306828367304443/,Cross Plains,Cross Plains/Pine Bluff/Black Earth/Middleton/Mazomanie,Community/City,Private,5.3K,Moderate,68,2026-07-06 (had new posts on check day),Personal profile to join,Limited to local businesses,Local businesses may advertise once/day,Yes (request to join),Yes,Verify on join,Verify on join,Verify on join,Village of Cross Plains +8 (admins),Post on the allowed day + answer recommendation requests,Medium (local only),Medium,75,Tier 1,Local businesses (incl. adjacent towns) may post once/day.,Join. Post once/day max; answer requests.
ASK—Madison Wisconsin,https://www.facebook.com/groups/216695095197527/,Madison,Madison area,Recommendation/Referral,Public,7.2K,Low-moderate,22,2026-07-06 (had new posts on check day),Personal profile (open),Unknown (not shown in rules),None,No (open group),Yes - frequent,Verify on join,Verify on join,Verify on join,Alexander +5 (admins); Tania +3 (mods),"Be the helpful local: answer requests, no ads",Unknown - verify on join,Medium,74,Tier 2,Dedicated Q&A / recommendation group - members ask 'who do you recommend' constantly. No rules shown on About.,Join. Reply to garage-door/contractor recommendation asks; confirm rules before any standalone promo.
Madison Area/Dane County Buy-Sell-Trade-Free,https://www.facebook.com/groups/MadisonDaneCountyBSTF/,Madison / Dane County,25-mile radius of Madison,Recommendation/Referral,Private,86.2K,Very high,2326,2026-07-06 (had new posts on check day),Personal profile to join,No,None,Yes (request to join),Yes,Verify on join,Verify on join,Verify on join,Minda +2 (admins),"Be the helpful local: answer requests, no ads",None,Low,73,Tier 2,"Largest group found (86K) and extremely active, but Rule 3 bans commercial/business posts. Reach is huge for organic recommendations.",Join. Answer recommendation posts helpfully; never post ads.
DeForest & Windsor (Buy/Sell) Group,https://www.facebook.com/groups/deforestbuysell/,DeForest / Windsor,DeForest / Windsor,Recommendation/Referral,Private,17.4K,Very high,845,2026-07-06 (had new posts on check day),Personal profile to join,No,None,Yes (request to join),Yes,Verify on join,Verify on join,Verify on join,'Wisconsinites' +2 (admins); Kay (mod),"Be the helpful local: answer requests, no ads",None,Low,73,Tier 2,Very active BST; NO advertising/self-promo (removal after warning). Recommendation replies OK.,Join. Answer requests; no ads.
McFarland Moms and Dads,https://www.facebook.com/groups/mcfarlandmoms/,McFarland,McFarland,Moms/Family,Private,4.2K,High,77,2026-07-06 (had new posts on check day),Personal profile to join,Unknown (not shown in rules),None,Yes (request to join),Yes,Verify on join,Verify on join,Verify on join,Stacy (admin),"Be the helpful local: answer requests, no ads",Unknown - verify on join,Low,73,Tier 2,Active parents group; no rules shown on About - confirm before promo.,Join. Answer requests; confirm rules before promo.
Happenings in Black Earth Wi,https://www.facebook.com/groups/1245001562368514/,Black Earth,Black Earth,Community/City,Private,3.6K,High,93,2026-07-06 (had new posts on check day),Personal profile to join,Limited to local businesses,Business posts OK if location named,Yes (request to join),Yes,Verify on join,Verify on join,Verify on join,"Avarie, Chelsie (admins)",Post on the allowed day + answer recommendation requests,Medium (local only),Medium,73,Tier 1,Local business posts allowed if you name your location. No duct-cleaning spam.,Join. Post with location named; answer requests.
DeForest/Windsor Area Moms,https://www.facebook.com/groups/944833878879891/,DeForest / Windsor,DeForest/Windsor/Morrisonville,Moms/Family,Private,2.6K,Moderate,49,2026-07-06 (had new posts on check day),Personal profile to join,Promo day only,Self-promotion Wednesdays only,Yes (request to join),Yes,Verify on join,Verify on join,Verify on join,Shannen (admin),Post on the allowed day + answer recommendation requests,Medium (promo day),Low,73,Tier 1,Self-promo allowed Wednesdays. Moms often ask for home-service recs.,Join. Post Wednesdays; answer requests other days.
Wexford Village Neighbors,https://www.facebook.com/groups/wexfordvillageneighbors/,Madison (Wexford Village),West Madison,Neighborhood/Subdivision,Private,808,Low-moderate,15,2026-07-06 (had new posts on check day),Personal profile to join,No,None,Yes (request to join),Yes,Verify on join,Verify on join,Verify on join,"Peggy, David (admins)","Be the helpful local: answer requests, no ads",None,Low,73,Tier 2,Owner-occupied; NO promotions (duct-cleaning = instant ban). Recommendation replies OK.,Join. Answer neighbor requests; no ads.
Oregon WI Information,https://www.facebook.com/groups/oregonwiinfo/,Oregon,Oregon WI,Community/City,Private,8.4K,High,77,2026-07-06 (had new posts on check day),Personal profile to join,No,None,Yes (request to join),Yes,Verify on join,Verify on join,Verify on join,"Natasha, Melissa (admins)","Be the helpful local: answer requests, no ads",None,Medium,72,Tier 2,No selling/business posts; duct-cleaning explicitly barred. Recommendation replies OK.,Join. Answer requests; no ads.
Belleville Wisconsin Information Page,https://www.facebook.com/groups/227646875084988/,Belleville,Belleville,Community/City,Public,7.9K,High,129,2026-07-06 (had new posts on check day),Personal profile (open),Unknown (not shown in rules),None,No (open group),Yes,Verify on join,Verify on join,Verify on join,Lisa (admin),"Be the helpful local: answer requests, no ads",Unknown - verify on join,Medium,70,Tier 2,Active info page. No rules shown on About - confirm posting policy on join.,Join. Answer requests; confirm rules before promo.
Wisconsin Moms,https://www.facebook.com/groups/936014063205512/,Statewide WI,Wisconsin (many Madison-area),Moms/Family,Private,21.1K,Very high,213,2026-07-06 (had new posts on check day),Personal profile to join,Yes,Local small-business promo allowed any day (MLM Sundays only),Yes (request to join),Yes,Verify on join,Verify on join,Verify on join,Herly +2 (admins); Courtney +2 (mods),Post on the allowed day + answer recommendation requests,High,Low,69,Tier 1,"Rule 6 explicitly allows local small-business promotion any day. Large & active, but statewide (audience diluted beyond Dane County).",Join. Post a helpful local intro; answer Madison-area requests.
Welcome to Sun Prairie,https://www.facebook.com/groups/1704358993123757/,Sun Prairie,Sun Prairie,Community/City,Public,10.7K,Low-moderate,9,2026-07-06 (had new posts on check day),Personal profile (open),Unknown (not shown in rules),None,No (open group),Yes,Verify on join,Verify on join,Verify on join,Jim +4 (admins),"Be the helpful local: answer requests, no ads",Unknown - verify on join,Medium,69,Tier 2,Large but lower recent activity. No rules shown on About.,Join. Answer requests; confirm rules before promo.
"Madison, WI Business Marketplace",https://www.facebook.com/groups/579960962958339/,Madison,Madison area,Recommendation/Referral,Public,7.2K,Very high,192,2026-07-06 (had new posts on check day),Personal profile (open),Unknown (not shown in rules),None,No (open group),Yes,Verify on join,Verify on join,Verify on join,Alan +2 (admins); Wendy +2 (mods),Network for reciprocal referrals; no consumer ads,Unknown - verify on join,Medium,69,Tier 3,Business-marketplace group; promotion likely tolerated (confirm). Mixed audience.,Join. Post occasional service offer; answer requests.
"Rolling Meadows Neighborhood Madison, WI",https://www.facebook.com/groups/Rolling.Meadows.Neighborhood/,Madison (Rolling Meadows),Rolling Meadows,Neighborhood/Subdivision,Public,546,Low,1,2026-07-06 (had new posts on check day),Personal profile (open),Unknown (not shown in rules),None,No (open group),Occasionally,Verify on join,Verify on join,Verify on join,Mark (admin),Monitor; reply only if a garage-door question appears,Unknown - verify on join,Low,68,Tier 4,Owner-occupied but low activity.,Monitor/Join. Answer requests if they appear.
Madison's Vilas Neighborhood Association,https://www.facebook.com/groups/vilasna/,Madison (Vilas),Near-west Madison,Neighborhood/Subdivision,Private,193,Low,0,2026-07-06 (had new posts on check day),Personal profile to join,Unknown (not shown in rules),None,Yes (request to join),Occasionally,Verify on join,Verify on join,Verify on join,Sarah (admin),Monitor; reply only if a garage-door question appears,Unknown - verify on join,Low,68,Tier 4,Owner-occupied but small & near-dormant.,Monitor only.
Moms of Madison WI area reaching out to other moms,https://www.facebook.com/groups/1656552017935470/,Madison,Madison area,Moms/Family,Private,6.0K,Moderate,36,2026-07-06 (had new posts on check day),Personal profile to join,No,None,Yes (request to join),Yes,Verify on join,Verify on join,Verify on join,"Bryanna +2 (admins); Brooke, Katie (mods)","Be the helpful local: answer requests, no ads",None,Low,67,Tier 2,Rule 2 bans selling products/services. Recommendation replies still OK.,Join. Answer requests; no ads.
Fitchburg (WI) Folks,https://www.facebook.com/groups/fitchburgfolks/,Fitchburg,Fitchburg,Community/City,Public,7.2K,Low-moderate,16,2026-07-06 (had new posts on check day),Personal profile (open),No,None,No (open group),Yes,Verify on join,Verify on join,Verify on join,"Jessica, Kim (admins)","Be the helpful local: answer requests, no ads",None,Medium,66,Tier 2,No business promotion (events OK). Recommendation replies OK.,Join. Answer requests; post events only.
Madison Family | Community + Connection,https://www.facebook.com/groups/1582548615362980/,Verona / Madison,Madison + Verona,Moms/Family,Private,7.7K,Low-moderate,13,2026-07-06 (had new posts on check day),Personal profile to join,No,None,Yes (request to join),Yes,Verify on join,Verify on join,Verify on join,Sarah +6 (admins),"Be the helpful local: answer requests, no ads",None,Low,64,Tier 2,Rule 3 bans self-promotion. Recommendation replies OK.,Join. Answer requests; no ads.
"Cambridge Area Community (WI, USA)",https://www.facebook.com/groups/CambridgeLakeRipley/,Cambridge,Cambridge / Lake Ripley,Community/City,Private,5.6K,Moderate,65,2026-07-06 (had new posts on check day),Personal profile to join,No,None,Yes (request to join),Yes,Verify on join,Verify on join,Verify on join,'CambridgeWi' +2 (admins),"Be the helpful local: answer requests, no ads",None,Medium,64,Tier 2,No self-promo/MLM; for-sale goes to BST sites. Recommendation replies OK.,Join. Answer requests; no ads.
Sun Prairie Moms and Dads Chat,https://www.facebook.com/groups/1548593845155332/,Sun Prairie,Sun Prairie,Moms/Family,Private,1.9K,Low,3,2026-07-06 (had new posts on check day),Personal profile to join,Unknown (not shown in rules),None,Yes (request to join),Yes,Verify on join,Verify on join,Verify on join,"Coral, Kimberly (admins)","Be the helpful local: answer requests, no ads",Unknown - verify on join,Low,64,Tier 2,Must show Sun Prairie ties to join. Lower recent activity.,Join. Answer requests; confirm rules before promo.
"Moms Club of Oregon, WI",https://www.facebook.com/groups/1128451441147457/,Oregon,Oregon School District,Moms/Family,Private,734,Low,6,2026-07-06 (had new posts on check day),Personal profile to join,No,None,Yes (request to join),Yes,Verify on join,Verify on join,Verify on join,Elise +2 (admins),Monitor; reply only if a garage-door question appears,None,Low,61,Tier 4,OSD moms; Rule 1 bans self-promo. Lower activity.,Monitor/Join. Answer requests; no ads.
"Stoughton, Wisconsin Activities Group",https://www.facebook.com/groups/StoughtonActivitiesGroup/,Stoughton,Stoughton,Community/City,Public,4.0K,Moderate,37,2026-07-06 (had new posts on check day),Personal profile (open),No,None,No (open group),Occasionally,Verify on join,Verify on join,Verify on join,Josh (admin),Monitor; reply only if a garage-door question appears,None,Low,59,Tier 4,Events/activities only; business promotion banned.,Monitor only. Answer a garage-door question if it appears.
The Madison Business Collective,https://www.facebook.com/groups/1587662494824225/,Madison,Madison area,Business Networking,Private,916,Low,1,2026-07-06 (had new posts on check day),Personal profile to join,No ads; recommendation replies OK,None,Yes (request to join),Yes,Verify on join,Verify on join,Verify on join,Morgan (admin),Network for reciprocal referrals; no consumer ads,Low (answer requests only),High,58,Tier 3,In-person networking group; Rule 1 bans promo BUT referral posts and replying to a service-request with your site are allowed.,Join. Build reciprocal referrals; answer service-request posts.
Madison Area Small Business Owners and Entrepreneurs,https://www.facebook.com/groups/1798927953694474/,Madison,Madison area,Business Networking,Private,1.4K,Low-moderate,21,2026-07-06 (had new posts on check day),Personal profile to join,Unknown (not shown in rules),None,Yes (request to join),Occasionally,Verify on join,Verify on join,Verify on join,Michelle (admin),Network for reciprocal referrals; no consumer ads,Unknown - verify on join,High,57,Tier 3,Local B2B networking; good for referral partnerships with other home-service owners.,Join. Network for reciprocal referrals; no consumer ads.
Real Estate Investors Madison Wisconsin,https://www.facebook.com/groups/madison.wisconsin.real.estate.investing/,Madison,Madison area,Real Estate/Property,Public,701,Low,1,2026-07-06 (had new posts on check day),Personal profile (open),Unknown (not shown in rules),None,No (open group),Occasionally,Verify on join,Verify on join,Verify on join,"Tin, Robert (admins)",Network for reciprocal referrals; no consumer ads,Unknown - verify on join,High,57,Tier 3,Investors/landlords = repeat door work on rentals/flips. Low recent activity.,Join. Network for landlord referral partnerships.
Madison Moms with Twins,https://www.facebook.com/groups/570809899608556/,Madison,Dane County,Moms/Family,Private,677,Low,4,2026-07-06 (had new posts on check day),Personal profile to join,Unknown (not shown in rules),None,Yes (request to join),Occasionally,Verify on join,Verify on join,Verify on join,Kat +3 (admins),Monitor; reply only if a garage-door question appears,Unknown - verify on join,Low,56,Tier 4,"Niche (multiples), lower activity.",Monitor. Answer a garage-door question if it appears.
Madison Area Working Moms,https://www.facebook.com/groups/madisonworkingmoms/,Madison,Madison area,Moms/Family,Private,457,Low,0,2026-07-06 (had new posts on check day),Personal profile to join,Unknown (not shown in rules),None,Yes (request to join),Occasionally,Verify on join,Verify on join,Verify on join,"Eleisha, Katie (admins)",Monitor; reply only if a garage-door question appears,Unknown - verify on join,Low,56,Tier 4,Nearly dormant.,Monitor only.
"Sun Prairie, What's Happening (Charitable Events)",https://www.facebook.com/groups/441612899307144/,Sun Prairie,Sun Prairie,Community/City,Public,9.5K,Low-moderate,9,2026-07-06 (had new posts on check day),Personal profile (open),No,None,No (open group),Rare / events only,Verify on join,Verify on join,Verify on join,Peter (admin),Monitor; reply only if a garage-door question appears,None,Low,53,Tier 4,Events-only posting group; not for recommendations.,Monitor. Low fit; skip unless sponsoring a local event.
SUN PRAIRIE EVENTS,https://www.facebook.com/groups/800267160144435/,Sun Prairie,Sun Prairie,Community/City,Public,5.7K,Low-moderate,12,2026-07-06 (had new posts on check day),Personal profile (open),No,None,No (open group),Rare / events only,Verify on join,Verify on join,Verify on join,Teran +2 (admins),Monitor; reply only if a garage-door question appears,None,Low,53,Tier 4,Events-only; no promotions.,Monitor only. Low fit.
Moms Collective Of Dane County,https://www.facebook.com/groups/momscollectivedanecounty/,Dane County,Madison/Fitchburg/Middleton/Verona,Moms/Family,Private,54,Low,3,2026-07-06 (had new posts on check day),Personal profile to join,No,None,Yes (request to join),Occasionally,Verify on join,Verify on join,Verify on join,Taryn +5 (admins),Monitor; reply only if a garage-door question appears,None,Low,53,Tier 4,Very small (54 members); Rule 1 bans self-promo.,Monitor only. Too small to prioritize.
Mount Horeb Parents,https://www.facebook.com/groups/1513397912222544/,Mount Horeb,Mount Horeb,Moms/Family,Private,500,Low,4,2026-07-06 (had new posts on check day),Personal profile to join,Unknown (not shown in rules),None,Yes (request to join),Occasionally,Verify on join,Verify on join,Verify on join,Tamara +5 (admins),Monitor; reply only if a garage-door question appears,Unknown - verify on join,Low,51,Tier 4,"Small, lower activity.",Monitor. Answer requests if they appear.
"MotherTrees - Madison, WI",https://www.facebook.com/groups/mothertreesmadison/,Madison,Madison,Moms/Family,Private,143,Dormant,0,No posts in last 30 days,Personal profile to join,Unknown (not shown in rules),None,Yes (request to join),Rare / events only,Verify on join,Verify on join,Verify on join,Kat (admin); Jen (mod),Monitor; reply only if a garage-door question appears,Unknown - verify on join,Low,50,Tier 4,Dormant (no posts last month).,Reject/monitor. Inactive.
Door Creek Church Moms Together (MOPS & MOMSnext),https://www.facebook.com/groups/104435246323895/,Madison (east),East Madison,Moms/Family,Private,231,Dormant,0,No posts in last 30 days,Personal profile to join,No,None,Yes (request to join),Rare / events only,Verify on join,Verify on join,Verify on join,Megan +4 (admins),Monitor; reply only if a garage-door question appears,None,Low,47,Tier 4,Dormant; Rule 1 bans self-promo.,Reject/monitor. Inactive.
"Reliable Residence Housing - Madison, WI",https://www.facebook.com/groups/madisonwisconsinrentalproperties/,Madison,Madison area,Real Estate/Property,Public,17.2K,Dormant,0,No posts in last 30 days,Personal profile (open),No,None,No (open group),Occasionally,Verify on join,Verify on join,Verify on join,Natalie +3 (admins),Monitor; reply only if a garage-door question appears,None,Medium,46,Tier 4,Furnished/travel-nurse rental focus; NO promotions; dormant (no posts last month).,Monitor only. Low fit / inactive.
Wisconsin Contractor & Handyman Club,https://www.facebook.com/groups/WIContractors/,Milwaukee / Statewide,Wisconsin (Milwaukee-based),Complementary Home-Service,Private,6.6K,Moderate,48,2026-07-06 (had new posts on check day),Personal profile to join,No,None,Yes (request to join),Occasionally,Verify on join,Verify on join,Verify on join,Nick Knox +5 (admins),Network for reciprocal referrals; no consumer ads,None,High,46,Tier 3,"Trade group of contractors/handymen - referral-partnership potential, but competitors present and self-promo banned. Milwaukee-centric.",Join to network with trades for referral swaps; no self-promo.
Wisconsin Association of Home Inspectors,https://www.facebook.com/groups/WAHIinspectors/,Statewide WI,Wisconsin,Real Estate/Property,Private,173,Low,3,2026-07-06 (had new posts on check day),Personal profile to join,Unknown (not shown in rules),None,Yes (request to join),Occasionally,Verify on join,Verify on join,Verify on join,Marc +3 (admins),Network for reciprocal referrals; no consumer ads,Unknown - verify on join,High,44,Tier 3,Home inspectors = strong recurring referral source (doors flagged on inspections). Small pro group.,Join if eligible / connect with inspectors for referral partnership. Ties to existing partner-outreach list.
